##id, name
0 Courses
1 College_of_engineering
2 Electrical_and_computer_engineering
3 Chemical_and_Biomolecular_Engineering
4 Civil_and_enviromental_engineering
5 Earth_and_atmosferic_sciences
6 Material_sciences_and_engineering
7 College_of_arts_and_sciences
8 Asian_Studies
9 Chinese
10 Indonesian
11 Korean
12 Japanese
13 Sanskrit
14 Hindi
15 Vietnamese
16 Thai
17 History
18 Classics
19 GreekClass
20 LatinClass
21 Courses
22 College_of_Engineering
23 Civil_and_enviromental_engeneering
24 Electrical_Engeneering
25 Chemical_engeneering
26 Materials_Science_and_EngeneeringClass
27 College_of_Arts_and_Sciences
28 Linguistics
29 Romance_linguistics
30 Spanish_linguistics
31 French_linguistics
32 linguistics
33 Earth_and_Space_Sciences
34 History
35 Ancient_and_medieval_history
36 Histoty_of_the_Americas
37 Modern_European_HistoryClass
38 History_of_Asia
39 Asian_Languages_and_Literature
40 Korean
41 Sanskrit
42 Indonesian
43 Indian
44 Japanese
45 Thai
46 Chinese
47 Hindi
48 Vietnamese
49 Classics
50 Greek
51 Latin
